"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76"
"61","A61",5,5,5,5,5.67,5.89,6.35,6.4,6.69,7.1,6.73,6.1,6.06,6.1,6.1,6.1,6.1,6.1,6.1,6.04,6,6,6.11,6.81,7.08,7.35,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"62","A62",5,5,5,5,5,5,5,4.88,4.8,4.8,5.08,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5,5,5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"63","A63",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"64","A64",5,5,5,5,5,5,5,5,5,5,5,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.44,5.8,5.8,5.8,5.8,5.8,5.8,5.8
"65","A65",5,5.16,6,6,6,6,6,6,6.01,6.2,6.58,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.5,6.5,6.5,6.52,6.98,7,7,7,7,7,7,7,7,7,7,7.1
"66","A66",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.68,4.03,4,4,4,4.16,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"67","A67",5,5.09,6.69,6.99,7.03,7.03,7.5,7.94,8.02,8.02,8.02,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.52,8.53,8.92,8.92,8.92,8.92
"68","A68",5,5,5,5,5.04,8.04,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
"69","A69",5,5,5,5,5,5,5.03,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
"70","A70",5,6,7.07,7.2,7.2,7.2,7.26,7.62,8,8,8.16,8.2,8.2,8.3,8.3,8.3,8.38,8.48,7.84,6.58,5.5,4.8,4.47,8,8.24,8.28,8.3,8.34,8.6,8.48,8.7,8.22,8,8.71,8.8
"71","A71",5,6.07,6.3,6.3,6.33,6.42,6.71,6.8,6.8,7,7,7,7,7,7,7,7,7,5.62,3.8,5.22,5.47,6.06,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.86,7.09,7.1
"72","A72",5,5.69,7,7,7,6.98,5.8,5.8,5.8,6.19,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.1,7,6.36,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
"73","A73",5,5,5,5.22,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,4.7,4.43,4.4,4.4,4.4,4.2,4.41,4.6,4.6,4.7,4.47,4.48,4.72,5.41,5.5,5.5,5.46,5.3,5.5,5.5
"74","A74",5,5,5.21,6.47,6.9,6.9,6.9,6.9,7,7.07,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.71,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
"75","A75",5,5.1,5.29,5.37,5.53,5.71,5.8,5.9,6.03,6.1,6.3,6.4,6.58,6.66,6.7,6.6,6.6,6.6,6.5,6.39,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.63,6.88,6.9,6.9,7
"76","A76",5,5,5,5,5,5,5,5.04,5.3,5.3,5.3,5.4,5.5,5.58,5.6,5.6,5.7,5.7,5.8,5.8,5.86,5.9,5.9,6.06,6.1,6.1,6.2,6.29,6.3,6.3,6.4,6.4,6.4,6.4,6.46
"77","A77",5,5,5,5,5,5.2,5.2,5.2,5.2,5.2,5.2,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.29,5.2,5.2,5.2,5.25,5.56,5.82,6,6,6,6.02,6.1,6.1,6.1,6.19,6.3,6.3
"78","A78",5,5,5.36,5.4,5.4,5.39,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5.1,5.1,5.02,5.3,5.3,5.3,5.3,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"79","A79",5,5,5,5,5,5,5.41,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,6.04,6.3,6.3,6.3,6.3,6.58,6.7,6.7,6.7
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,5.09,5.2,5.34,5.51,5.72,6,6.27,6.4,6.52,6.8,6.96,7,7,7.11,7.4,7.4,7.5,7.42,7.1,7.19,7.3,7.58,7.86,8,8.06,8.19,8.3,8.4,8.58,8.64,8.66,8.6,8.78,8.8
"82","A82",5,5.16,5.3,5.3,5.3,5.3,5.3,5.56,6,6,6,6,6.07,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.5,7.04,7.2,7.2,7.2,7.66,7.7,7.7,7.7,7.7,7.7,7.7
"83","A83",5,5,5,5,5,5,5,5.01,6.13,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
"84","A84",5,5,5,5,5,5,5,4.99,4.33,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.97,3.92,3,2.93,2.93,2.93,2.93,2.93,2.96,3.82,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.34
"85","A85",5,5.13,5.64,6.18,6.88,7.44,8.18,8.96,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"86","A86",5,5,5,5.02,6.23,6.89,7.38,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.57,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
"87","A87",5,5,5,5,5,5.1,5.1,5.16,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.31,5.5,5.59,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.41
"88","A88",5,5,5,6.21,7.67,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"89","A89",5,5.03,6,6.1,6.1,6.48,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.1,6.4,6.39,6,5.96,4.26,4.28,5.1,5.19,7.4,7.4,7.4,7.69,7.96,8,8,8,8,8,8,8
"90","A90",5,5.08,5.5,5.5,5.67,6,6.5,6.5,6.5,6.8,6.8,6.8,7,7,7,7,7,7,7,7,7,7,7,7.17,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.4,7.4,7.4
"91","A91",5,5.03,6.14,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.18,6.16,7.64,7.99,8,8,8.01,8.79,9,8.54,8.08,6.19,8.08,8.4
"92","A92",5,5.1,5.1,5.1,5.2,5.46,5.76,5.8,5.86,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.22,6.32,6.5,6.5,6.7,6.7,6.7,6.7,6.74,6.8,6.8,6.24,5.89,6
"93","A93",5,5,5,5,5,5.06,6.98,7,7,7,7,7,7,7,7,7,7,7,7,5.56,5.51,5.51,5.51,7.83,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94,7.94
"94","A94",5,5.02,5.39,5.4,5.4,5.76,7.42,8,8,8.09,8.36,9,9,9,9,9,9,9,8.89,8.26,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9
"95","A95",5,5,5,5,5.04,6.83,7.56,8,8,7.98,7.63,8,7.03,6.7,6.7,6.7,6.7,6.7,7,6.91,3.3,3.3,4.61,7.1,7.1,7.43,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
"96","A96",5,5,5,5,5,5,5,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.6,6.6,6.6,6.6,6.6,6.6,6.08,6,6,6.55,7,7,7,7,7,7,7,7,6.33,5.87,5.6
"97","A97",5,5,5,5,5,4.61,4.6,4.6,4.53,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4,4,4,4,4,4,4,4,4,4,4,4
"98","A98",5,5.03,8.66,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"99","A99",5,5,5,5,5,5.26,5.8,6.1,6.1,6.16,6.6,6.6,6.72,7.2,7.23,7.3,7.3,7.3,7.3,7.3,7.09,6.62,6.3,6.4,7.56,8,8.03,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
"100","A100",5,3.05,2.51,2.41,3.71,1,1,1,1,1,1,1.47,4.5,4.5,4.51,3.26,3.6,2.74,1.92,1.54,1.5,1.5,1.5,1.5,1.5,1.44,1.46,1.87,1.78,1.67,1.7,1.47,2.8,3.2,3.2
"101","A101",5,5,5,5.06,6.41,7,8.11,8,8,8,8,8,8,8,8,8,8,8,8,7.99,7.8,7.7,7.8,7.97,8,8.02,8.5,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
"102","A102",5,5,5,5,5,5.26,5.38,5.4,5.4,5.4,5.4,5.4,5.4,5.43,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.63,5.7,6,6,6.17,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.7,6.7
"103","A103",5,4.94,5.2,5.2,5.29,5.64,5.99,6,6,6,6.17,5.94,5.8,5.8,5.8,5.8,5.77,5.76,5.78,5.3,5.2,5.2,5.37,5.91,6.23,6.6,6.6,6.7,6.8,6.8,6.8,6.8,6.21,5.8,5.17
"104","A104",5,5,5.5,5.77,6.01,6.41,7.09,7.5,7.81,8,8.14,8.3,8.56,9,9,9,9,9,9,8.53,8.14,8.64,8.74,9,9,9,9,9,9,9,9,9,8.97,9,9
"105","A105",5,5,5,5,5,5.02,5.75,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.86,6.4,6.4,6.4,6.4,6.39,6.2,6.34,6.03,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.67,7.1,7.1,7.13,7.56
"106","A106",5,5.21,6,6,6,6,6,6,6,6.09,6.5,6.5,6.5,6.5,6.5,6.5,6.82,7,7,7,7,7,7,7,7.4,7.49,7.5,7.5,7.5,7.5,7.5,7.5,7.48,7,7
"107","A107",5,5,5,5,5,5,5,5,5.88,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.17,7.01,6.99,7,7,7,7,7,7,7,7
"108","A108",5,5,5.72,6,6,6.04,7.44,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.19,8.37,8.63,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
"109","A109",5,4.8,4.57,5.1,5.53,5.95,6.49,7.01,7.43,7.19,7.46,7.52,7.59,7.79,7.81,7.78,7.74,7.78,8.13,7.7,8.08,8.01,7.57,8.47,8.66,8.46,8.62,8.51,8.97,8.88,8.8,8.8,8.44,7.55,7.8
"110","A110",5.02,5.02,4.97,5.33,5.7,5.89,6.32,6.5,6.71,7,6.98,7.04,6.92,6.94,6.97,6.97,6.93,7.02,6.96,7,7,7.34,7.46,7.76,7.87,7.99,8.06,8.04,8.04,8.03,8.04,7.91,7.8,7.84,7.64
"111","A111",5,5,4.99,4.52,4.42,4.66,5.54,6.09,6.08,6.17,6.35,6.32,6.32,6.32,6.32,6.42,6.4,6.44,6.39,6.39,6.39,6.42,6.09,6.9,6.95,6.99,6.99,6.99,6.99,6.95,6.78,6.88,6.04,4.97,4.57
"112","A112",5,5,5,5,5,5,5,5,5,5,5,5,5.47,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.51,5.61,5.61,5.61,5.61,5.61,5.61,5.62
"113","A113",5,5,5.03,5.96,6,6.04,6.99,7.83,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.02,9,9,9,9,9,9,9,9,9,9,9
"114","A114",5,5.13,5.3,5.4,5.48,5.46,6.63,6.8,6.8,6.73,7.13,7.14,6.87,6.87,7.27,7.43,7.4,7.2,6.32,5.29,4.22,4.3,4.26,6.17,6.56,6.7,6.67,7.11,7.5,7.44,7.2,6.89,5.67,5.74,6
"115","A115",5,5,5.4,5.66,5.88,6.02,6.1,6.21,6.47,6.5,6.5,6.5,6.5,6.6,6.87,8.17,8.45,8.52,8.73,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7
"117","A117",5,5,5.01,6.66,6.7,6.7,6.7,6.7,7.03,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,6.87,6.8,6.9,7,7,7,7,7,7,7,7,7,7,7
"118","A118",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,5,5,5,5.11,5.2,5.22,5.41,5.6,5.57,5.79,6,6,6,6,6,6,6,5.82,5.8,5.8,5.83,5.91,6.17,6.81,7.13,7.27,7.26,7.18,7.17,7.21,6.92,6.84,7.1
"121","A121",5,5.04,6.84,6.9,6.94,6.94,7,7.36,7.5,7.5,7.5,7.5,7.5,7.5,7.72,8.1,8.4,8.4,7.7,4.31,3.9,3.4,3.64,6.85,7.57,8.6,8.6,8.6,8.6,8.6,8.6,8.4,6.13,6.9,6.9
"122","A122",5,5,5,5.78,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"123","A123",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
